created_at,entry_id,field1,field2
2018-12-27 14:30:50 UTC,450,21.8,60.2
2018-12-27 14:31:09 UTC,451,21.8,60.0
2018-12-27 14:31:28 UTC,452,21.8,60.2
2018-12-27 14:31:48 UTC,453,21.7,60.2
2018-12-27 14:32:07 UTC,454,21.8,60.5
2018-12-27 14:32:26 UTC,455,21.8,60.4
2018-12-27 14:32:45 UTC,456,21.8,60.4
2018-12-27 14:33:04 UTC,457,21.8,60.4
2018-12-27 14:33:23 UTC,458,21.8,60.4
2018-12-27 14:33:42 UTC,459,21.8,60.6
2018-12-27 14:34:02 UTC,460,21.8,60.7
2018-12-27 14:34:21 UTC,461,21.8,60.5
2018-12-27 14:34:40 UTC,462,21.7,60.0
2018-12-27 14:34:59 UTC,463,21.8,60.0
2018-12-27 14:35:18 UTC,464,21.8,60.3
2018-12-27 14:35:37 UTC,465,21.8,60.6
2018-12-27 14:35:57 UTC,466,21.8,60.2
2018-12-27 14:36:16 UTC,467,21.8,60.2
2018-12-27 14:36:35 UTC,468,21.7,60.4
2018-12-27 14:36:54 UTC,469,21.7,60.3
2018-12-27 14:37:13 UTC,470,21.7,60.6
2018-12-27 14:37:32 UTC,471,21.7,60.7
2018-12-27 14:37:50 UTC,472,21.7,60.3
2018-12-27 14:38:10 UTC,473,21.7,60.4
2018-12-27 14:38:30 UTC,474,21.7,60.4
2018-12-27 14:38:49 UTC,475,21.7,60.6
2018-12-27 14:39:08 UTC,476,21.7,60.7
2018-12-27 14:39:27 UTC,477,21.7,60.5
2018-12-27 14:39:47 UTC,478,21.7,60.7
2018-12-27 14:40:06 UTC,479,21.7,60.6
2018-12-27 14:40:25 UTC,480,21.8,60.5
2018-12-27 14:40:44 UTC,481,21.8,60.3
2018-12-27 14:41:02 UTC,482,21.7,60.3
2018-12-27 14:41:22 UTC,483,21.7,60.3
2018-12-27 14:41:41 UTC,484,21.7,60.5
2018-12-27 14:42:00 UTC,485,21.7,60.7
2018-12-27 14:42:19 UTC,486,21.7,60.4
2018-12-27 14:42:38 UTC,487,21.7,60.5
2018-12-27 14:42:57 UTC,488,21.7,60.5
2018-12-27 14:43:16 UTC,489,21.7,62.3
2018-12-27 14:43:36 UTC,490,21.7,61.5
2018-12-27 14:43:54 UTC,491,21.7,60.9
2018-12-27 14:44:15 UTC,492,21.7,60.3
2018-12-27 14:44:33 UTC,493,21.7,60.4
2018-12-27 14:52:51 UTC,494,22.1,60.1
2018-12-27 14:53:29 UTC,495,21.8,60.6
2018-12-27 14:53:47 UTC,496,21.8,60.3
2018-12-27 14:54:06 UTC,497,21.8,60.3
2018-12-27 14:54:25 UTC,498,21.6,61.0
2018-12-27 14:54:44 UTC,499,21.6,61.1
2018-12-27 14:55:03 UTC,500,21.5,61.1
2018-12-27 14:55:23 UTC,501,21.4,61.4
2018-12-27 14:55:41 UTC,502,21.3,61.6
2018-12-27 14:56:00 UTC,503,21.2,61.8
2018-12-27 14:56:20 UTC,504,21.1,62.0
2018-12-27 14:56:39 UTC,505,21.1,62.5
2018-12-27 14:56:58 UTC,506,21.0,62.6
2018-12-27 14:57:17 UTC,507,21.0,62.7
2018-12-27 14:57:36 UTC,508,20.9,63.4
2018-12-27 14:57:55 UTC,509,20.9,63.5
2018-12-27 14:58:14 UTC,510,20.9,63.3
2018-12-27 14:58:33 UTC,511,20.8,63.1
2018-12-27 14:58:52 UTC,512,20.8,63.1
2018-12-27 14:59:11 UTC,513,20.8,63.0
2018-12-27 14:59:30 UTC,514,20.8,63.3
2018-12-27 14:59:49 UTC,515,20.8,63.1
2018-12-27 15:00:09 UTC,516,20.7,63.0
2018-12-27 15:00:28 UTC,517,20.7,63.9
2018-12-27 15:00:47 UTC,518,20.7,63.5
2018-12-27 15:01:06 UTC,519,20.7,63.6
2018-12-27 15:01:25 UTC,520,20.7,63.4
2018-12-27 15:01:44 UTC,521,20.7,63.4
2018-12-27 15:02:03 UTC,522,20.6,63.4
2018-12-27 15:02:22 UTC,523,20.6,63.8
2018-12-27 15:02:43 UTC,524,20.6,63.9
2018-12-27 15:03:00 UTC,525,20.6,63.9
2018-12-27 15:03:19 UTC,526,20.6,63.6
2018-12-27 15:03:39 UTC,527,20.6,63.2
2018-12-27 15:03:58 UTC,528,20.6,63.2
